name,team_x,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,start_hour,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,red_cards,selected,team_a_score,team_h_score,threat,transfers_in,transfers_out,value,was_home,yellow_cards,points,points_after
176,5,0,0,0,0,0.0,0,0,0.0,0.0,15,0,16,19,0,0,0,4507,0.0,5.0,0.0,121,176,40,1,0,0,0.0
113,5,1,0,31,1,12.0,0,0,4.2,23.8,15,82,16,19,0,0,0,19990,0.0,5.0,6.0,1841,1059,44,1,1,8,2.0
141,21,0,0,0,0,0.0,0,0,0.0,0.0,16,0,12,14,0,0,0,60591,3.0,3.0,0.0,1371,3496,42,0,0,0,0.0
239,7,0,0,13,0,5.9,1,0,2.3,15.2,14,90,18,24,0,0,0,34543,1.0,1.0,2.0,2496,1852,45,0,0,2,2.0
36,8,0,0,22,1,1.8,0,0,2.0,16.0,17,90,15,18,0,0,0,34462,1.0,0.0,2.0,799,1230,44,0,0,6,8.0
0,24,0,0,0,0,0.0,0,0,0.0,0.0,14,0,7,7,0,0,0,35486,1.0,1.0,0.0,1041,1209,42,1,0,0,0.0
469,15,0,0,3,0,0.9,0,0,0.6,1.2,20,10,14,16,0,0,0,51713,0.0,1.0,4.0,402,9753,44,0,0,1,0.0
419,15,0,0,0,0,0.0,0,0,0.0,0.0,20,0,14,16,0,0,0,253631,0.0,1.0,0.0,1181,10745,50,0,0,0,0.0
191,4,0,0,10,0,1.8,3,0,1.9,17.4,14,83,6,6,0,0,0,13877,2.0,3.0,0.0,245,1319,43,0,1,0,2.0
68,15,0,0,0,0,0.0,0,0,0.0,0.0,20,0,14,16,0,0,0,7339,0.0,1.0,0.0,0,130,40,0,0,0,0.0
148,16,0,0,21,1,4.9,0,0,3.2,10.2,20,90,13,15,0,0,0,778160,0.0,1.0,17.0,28625,37133,52,1,0,6,1.0
369,4,0,0,0,0,0.0,0,0,0.0,0.0,14,0,6,6,0,0,0,1407,2.0,3.0,0.0,0,12,40,0,0,0,0.0
483,9,0,0,0,0,0.0,0,0,0.0,0.0,14,0,10,12,0,0,0,7341,3.0,4.0,0.0,0,101,40,0,0,0,0.0
